Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
67129-08-2	Metazachlor	Cc1cccc(C)c1N(CN1C=CC=N1)C(=O)CCl	0.2767	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	In domain	21.43%	0.00%	78.57%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	0.2767	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	Out of Domain
*72960-62-2	Metazachlor ethane sulfonic acid (ESA)	Cc1cccc(C)c1N(CN1C=CC=N1)C(=O)CS(O)(=O)=O	0.5	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	11.76%	0.00%	88.24%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
*-39-1	Metazachlor oxanilic acid (OA)	CCc1cccc(C)c1N(C(C)COC)C(=O)C(O)=O	0.213	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.213	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
657-24-9	Metformin	CN(C)C(=N)N=C(N)N	0.0753	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0753	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
29385-43-1	Methyl-1H-benzotriazole / Tolyltriazole	CN1c2ccccc2N=N1	0.5	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.5	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
51218-45-2	Metolachlor	CCc1cccc(C)c1N(C(C)COC)C(=O)CCl	0.1727	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	In domain	57.14%	0.00%	42.86%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha-Activated Haloalkanes,Substituted Phenols"	Undetermined (0 <n< 10)	 	0.1727	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	Out of Domain
171118-09-5	Metolachlor ESA	CCc1cccc(C)c1N(C(C)COC)C(=O)CS(O)(=O)=O	0.5	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	41.18%	0.00%	58.82%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
152019-73-3	Metolachlor OA	CCc1cccc(C)c1N(C(C)COC)C(=O)C(O)=O	0.213	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.213	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
37350-58-6	Metoprolol	CC(C)NCC(O)COc1ccc(CCOC)cc1	0.1712	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	78.57%	7.14%	14.29%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1712	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
21087-64-9	Metribuzine	CC(C)(C)C1C(=O)N(N)C(SC)=NN=1	0.8242	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Hydrazine Derivatives	Undetermined (0 <n< 10)	 	 	In domain	21.43%	0.00%	78.57%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Hydrazine Derivatives	Undetermined (0 <n< 10)	 	0.8242	in vivo Liver Clastogen positive	Interaction with DNA 	Hydrazine Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
90-94-8	Michler's ketone	CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1	0.0406	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	 	In domain	70.00%	0.00%	30.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	0.0406	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	 	Out of Domain
59467-64-0	Midazolam	CC1=NC=C2CN=C(c3ccccc3F)c3cc(Cl)ccc3N12	0.2031	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	15.38%	0.00%	84.62%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2031	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
7439-98-7	Molibdenum (Mo) - total	[Mo]																													
17090-79-8	Monensin	CCC1(C2C(C)CC(C3C(C)CC(C)C(O)(CO)O3)O2)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(C(C)C(O)=O)OC)O3)O2)O1	0.3578	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	48.94%	4.26%	46.81%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.3578	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
2528-16-7	Monobenzyl-phthalate	OC(=O)c1ccccc1C(=O)OCc1ccccc1	0.4296	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Arenecarboxylic Acid Esters	 	 	 	In domain	77.78%	0.00%	22.22%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.4296	in vivo Liver Clastogen negative	 	Arenecarboxylic Acid Esters	 	 	 	Out of Domain
*-40-4	Monobutyltin-cation	CCCC[Sn]{+}	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	60.00%	0.00%	40.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
2306-33-4	Monoethyl-phthalate	CCOC(=O)c1ccccc1C(O)=O	0.4583	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Arenecarboxylic Acid Esters	 	 	 	In domain	88.89%	0.00%	11.11%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.4583	in vivo Liver Clastogen negative	 	Arenecarboxylic Acid Esters	 	 	 	Out of Domain
30833-53-5	Mono-iso-butyl-phthalate	CC(C)COC(=O)c1ccccc1C(O)=O	0.4296	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Arenecarboxylic Acid Esters	 	 	 	In domain	90.91%	0.00%	9.09%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.4296	in vivo Liver Clastogen negative	 	Arenecarboxylic Acid Esters	 	 	 	Out of Domain
83-66-9	Musk ambrette	Cc1c(N(=O)=O)cc(C(C)(C)C)c(OC)c1N(=O)=O	0.2889	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Nitrophenols, Nitrophenyl Ethers and Nitrobenzoic Acids,Polynitroarenes"	 	 	 	In domain	64.29%	0.00%	35.71%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Nitrophenols, Nitrophenyl Ethers and Nitrobenzoic Acids,Polynitroarenes"	 	 	0.2889	in vivo Liver Clastogen negative	 	"Nitrophenols, Nitrophenyl Ethers and Nitrobenzoic Acids,Polynitroarenes"	 	 	 	Out of Domain
81-15-2	Musk xylene	Cc1c(N(=O)=O)c(C)c(N(=O)=O)c(C(C)(C)C)c1N(=O)=O	0.2086	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Polynitroarenes	 	 	 	In domain	68.75%	0.00%	31.25%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Nitroaniline Derivatives,Polynitroarenes,Substituted Anilines"	 	 	0.2086	in vivo Liver Clastogen negative	 	Polynitroarenes	 	 	 	Out of Domain
24280-93-1	Mycophenolic acid	CC(CCC(O)=O)=CCc1c(OC)c(C)c2COC(=O)c2c1O	0.2164	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	Belongs to deacivated path	* 21. Phenolic Derivatives	In domain	38.89%	0.00%	61.11%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	Belongs to deacivated path	0.2164	in vivo Liver Clastogen negative	 	 	 	Belongs to deacivated path	* 21. Phenolic Derivatives	Out of Domain
99-98-9	"N,N'-dimethyl-p-phenylenediamine"	CN(C)c1ccc(N)cc1	0.3179	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	 	 	In domain	80.00%	0.00%	20.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	 	0.3179	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	 	 	Out of Domain
1643-20-5	"N,N-dimethyldodecylamine N-oxide"	CCCCCCCCCCCCN(C)(C)=O	0.0655	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	68.75%	0.00%	31.25%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0655	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
3984-14-3	"N,N-Dimethylsulfamid"	CN(C)S(N)(=O)=O	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
91-20-3	Naphthalene	c1cccc2ccccc12	0.1003	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	0.1003	in vivo Liver Clastogen positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	 	Out of Domain
22204-53-1	Naproxen	CC(c1ccc2cc(OC)ccc2c1)C(O)=O	0.4608	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.4608	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
3622-84-2	n-Butylbenzenesulfonamide	CCCCNS(=O)(=O)c1ccccc1	0.4132	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Arenesulphonamides	Undetermined (0 <n< 10)	 	 	In domain	55.56%	0.00%	44.44%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Arenesulphonamides	Undetermined (0 <n< 10)	 	0.4132	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Arenesulphonamides	Undetermined (0 <n< 10)	 	 	Out of Domain
1515-72-6	n-Butylphthalimide	CCCCN1C(=O)c2ccccc2C1=O	0.2309	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	30.00%	0.00%	70.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain	 	 	0.2309	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
62-75-9	NDMA (N-Nitrosodimethylaromatic amines)	CN(C)N=O	0	in vivo Liver Clastogen positive	in vivo Liver Clastogen negative	in vitro CA negative	 	"N-Nitroso Compounds,N-nitrosoamine Derivatives"	 	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-Nitroso Compounds	"High, >= 60% (n>=10)"	 	0	in vivo Liver Clastogen positive	Interaction with DNA 	N-Nitroso Compounds	"High, >= 60% (n>=10)"	 	 	In domain
7440-02-0	Nickel (Ni) - dissolved	[Ni]																													
7440-02-0	Nickel (Ni) - total	[Ni]_[Ni]																													
101-72-4	N-isopropyl-N’-phenyl-p-phenylenediamine	CC(C)Nc1ccc(Nc2ccccc2)cc1	0.1167	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	 	In domain	28.57%	14.29%	57.14%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	0.1167	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	 	Out of Domain
7697-37-2	Nitrates (NO3-N)	O=N{+}(=O)O{-}																													
14797-65-0	Nitrites (NO2-N)	O=N=O																													
17778-88-0	Nitrogen (N) – total	N#N																													
59-89-2	N-Nitrosomorpholine	O=NN1CCOCC1	0	in vivo Liver Clastogen positive	in vivo Liver Clastogen negative	in vitro CA negative	 	N-Nitroso Compounds	 	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-Nitroso Compounds	"High, >= 60% (n>=10)"	 	0	in vivo Liver Clastogen positive	Interaction with DNA 	N-Nitroso Compounds	"High, >= 60% (n>=10)"	 	 	In domain
3115-49-9	Nonylphenol monocarboxylates (NP1ECs)	CCCCCCCCCc1ccc(OCC(O)=O)cc1	0.1073	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	86.67%	0.00%	13.33%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.1073	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
84852-15-3	Nonylphenols	CC(C)CCCCCCc1ccc(O)cc1	0.3057	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives;* 21. Phenolic Derivatives;* 26. Phenolic Derivatives	In domain	90.91%	0.00%	9.09%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	0.3057	in vivo Liver Clastogen negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives;* 21. Phenolic Derivatives;* 26. Phenolic Derivatives	Out of Domain
68-22-4	Norethindrone	CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C	0.2322	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	In domain	77.27%	0.00%	22.73%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.2322	in vivo Liver Clastogen negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	Out of Domain
35189-28-7	Norgestimate / Ethynil estradiol	CCC12CCC3C(CCC4=CC(=NO)CCC34)C1CCC2(C#C)OC(C)=O	0.1379	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Specific Imine and Thione Derivatives	Undetermined (0 <n< 10)	 	 	In domain	55.56%	3.70%	40.74%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Specific Acetate Esters	 	 	0.1379	in vivo Liver Clastogen positive	Interaction with DNA 	Specific Imine and Thione Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
90-30-2	N-phenyl-1-naphthylamine	c1ccccc1Nc1cccc2ccccc12	0.3333	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	0.3333	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	N-Substituted Aromatic Amines	Undetermined (0 <n< 10)	 	 	Out of Domain
139-13-9	NTA (Nitrilotriacetic acid)	OC(=O)CN(CC(O)=O)CC(O)=O	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	Out of domain	46.15%	7.69%	46.15%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
53-19-0	"o,p-DDD"	ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1	0.1432	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Geminal Polyhaloalkane Derivatives	 	 	 	In domain	12.50%	0.00%	87.50%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1432	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
3424-82-6	"o,p-DDE"	Clc1ccccc1C(=C(Cl)Cl)c1ccc(Cl)cc1	0.4172	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	12.50%	0.00%	87.50%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.4172	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
789-02-6	"o,p-DDT"	Clc1ccccc1C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl	0.2304	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Geminal Polyhaloalkane Derivatives	 	 	 	In domain	55.56%	0.00%	44.44%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2304	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
*-43-4	OCDD (Octachlorodibenzo-p-dioxins)	 																													
*-43-5	OCDF (Octachlorodibenzofurans)	 																													
6197-30-4	Octocrylene	CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1	0.2599	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	In domain	41.18%	0.00%	58.82%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	0.2599	in vivo Liver Clastogen negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	Out of Domain
1806-26-4	Octylphenol	CCCCCCCCc1ccc(O)cc1	0.3208	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives;* 26. Phenolic Derivatives	In domain	90.00%	0.00%	10.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.3208	in vivo Liver Clastogen negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives;* 26. Phenolic Derivatives	Out of Domain
119-90-4	o-Dianisidine	COc1cc(-c2ccc(N)c(OC)c2)ccc1N	0.2848	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"p-Aminobiphenyl Analogs,Substituted Anilines"	Undetermined (0 <n< 10)	 	 	In domain	75.00%	0.00%	25.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	p-Aminobiphenyl Analogs	Undetermined (0 <n< 10)	 	0.2848	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"p-Aminobiphenyl Analogs,Substituted Anilines"	Undetermined (0 <n< 10)	 	 	Out of Domain
82419-36-1	Ofloxacin	CC1COc2c(N3CCN(C)CC3)c(F)cc3c2N1C=C(C(O)=O)C3=O	0.3341	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinolone Derivatives,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinolone Derivatives,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.3341	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinolone Derivatives,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
26530-20-1	OIT (2-Octyl-4-isothiazolin-3-one)	CCCCCCCCN1C(=O)C=CS1	0.1872	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.1872	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
73590-58-6	Omeprazole	Cc1cnc(CS(=O)C2Nc3ccc(OC)cc3N=2)c(C)c1OC	0.152	in vivo Liver Clastogen positive	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.152	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	In domain
54464-57-2	OTNE (ISO E Super)	CC1CC2CCCC(C)(C)C=2CC1(C)C(C)=O	0.1093	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	52.94%	0.00%	47.06%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.1093	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
604-75-1	Oxazepam	OC1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=N1	0.2209	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Carboxylic Acid Amides	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Heterocyclic Aromatic Amines	Undetermined (0 <n< 10)	 	0.2209	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Heterocyclic Aromatic Amines	Undetermined (0 <n< 10)	 	 	Out of Domain
72-54-8	"p,p-DDD"	ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1	0.0956	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Geminal Polyhaloalkane Derivatives	 	 	 	In domain	25.00%	0.00%	75.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.0956	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
72-55-9	"p,p-DDE"	Clc1ccc(C(=C(Cl)Cl)c2ccc(Cl)cc2)cc1	0.4809	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	25.00%	0.00%	75.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.4809	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
50-29-3	"p,p-DDT"	Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1	0.0908	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Geminal Polyhaloalkane Derivatives	 	 	 	In domain	77.78%	0.00%	22.22%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.0908	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
140-66-9	para-tert-Octylphenol	CC(C)(C)CC(C)(C)c1ccc(O)cc1	0.1871	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 21. Phenolic Derivatives	In domain	60.00%	0.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1871	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
