No	CAS	Name	SMILES	Pimephales promelas mode of action	Pimephales promelas_Observed	Pimephales promelas_StructCalcValue_Toxicity mg/L	Pimephales promelas_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain	Microbial toxicity_NEW	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Unable to mineralize	Total Domain	Remark
151	50-24-8	Prednisolon	CC{P+}12CC{P+}(O)C{P-}3C{P-}(CCC4=CC(=O)C=CC{P+}34C)C{P+}1CCC{P-}2(O)C(=O)CO	Reactive unspecified	no data	<=477.3344*	from 374.669 to 608.131	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	65.38%	0.00%	34.62%	Out of domain	In domain	Out of Domain	 
152	53-03-2	Prednison	CC{P+}12CC(=O)C{P-}3C{P-}(CCC4=CC(=O)C=CC{P+}34C)C{P+}1CCC{P-}2(O)C(=O)CO	Reactive unspecified	no data	<=320.0896*	from 252.777 to 405.327	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	61.54%	0.00%	38.46%	Out of domain	In domain	Out of Domain	 
153	721-50-6	Prilocain	CCCNC(C)C(=O)Nc1ccccc1C	basesurface narcotics	no data	139.9752	from 116.316 to 168.447	In domain	45.45%	9.09%	45.45%	Out of domain	45.89%	Out of Domain	 Aromatic amine suspected BOD inhibition effect	In domain	90.91%	0.00%	9.09%	Out of domain	In domain	Out of Domain	 
154	125-33-7	Primidon	CCC1(c2ccccc2)C(=O)NCNC1=O	Reactive unspecified	no data	<=1309.6042	from 1017.375 to 1685.774	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	81.82%	0.00%	18.18%	Out of domain	In domain	Out of Domain	 
155	57-83-0	Progesteron	CC(=O)C{P-}1CCC{P-}2C{P+}3CCC4=CC(=O)CCC{P-}4(C)C{P-}3CCC{P+}12C	Reactive unspecified	no data	<=7.0159	from  5.827 to  8.448	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	82.61%	0.00%	17.39%	Out of domain	In domain	Out of Domain	 
156	123732-85-4	Propachlor-ESA	CC(C)N(C(=O)CS(O)(=O)=O)c1ccccc1	Reactive unspecified	no data	<=690.4854	from 493.874 to 965.369	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
157	111479-05-1	Propaquizafop	CC(C(=O)OCCON=C(C)C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1	Reactive unspecified	no data	<=1.1163*	from  0.841 to  1.482	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	64.71%	0.00%	35.29%	Out of domain	In domain	Out of Domain	 
158	120983-64-4	Prothioconazole-desethio	OC(Cc1ccccc1Cl)(CN1C=NC=N1)C1(Cl)CC1	Reactive unspecified	no data	<=20.3052	from 17.044 to 24.191	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain	 
159	66357-35-5	Ranitidin	CN/C(=C\N(=O)=O)/NCCSCC1=CC=C(CN(C)C)O1	Reactive unspecified	no data	<=2963.4604	from 2095.609 to 4190.713	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	23.81%	0.00%	76.19%	Out of domain	In domain	Out of Domain	 
160	*738557-20-2	Ranitidin-N-oxid	CN/C(=C\N(=O)=O)/NCCSCC1=CC=C(CN(C)C)O1	Reactive unspecified	no data	<=2963.4604	from 2095.609 to 4190.713	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	23.81%	0.00%	76.19%	Out of domain	In domain	Out of Domain	 
161	13392-28-4	Rimantadin	CC(N)C12CC3CC(C1)CC(C2)C3	narcotic amines	no data	5.9221	from  3.564 to  9.841	In domain	84.62%	0.00%	15.38%	Out of domain	30.34%	Out of Domain	 Aliphatic amine primary suspected BOD inhibition effect	In domain	84.62%	0.00%	15.38%	Out of domain	In domain	Out of Domain	 
162	155213-67-5	Ritonavir	CC(C)C{P-}(C(=O)NC{P+}(CC{P+}(O)C{P+}(Cc1ccccc1)NC(=O)OCC1=CN=CS1)Cc1ccccc1)NC(=O)N(C)CC1=CSC(C(C)C)=N1	Reactive unspecified	no data	<=0.1682*	from  0.116 to  0.243	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	57.50%	0.00%	42.50%	Out of domain	In domain	Out of Domain	 
163	123441-03-2	Rivastigmin	CCN(C)C(=O)Oc1cccc(C{P+}(C)N(C)C)c1	Reactive unspecified	no data	<=86.0412	from 73.388 to 100.876	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	53.85%	0.00%	46.15%	Out of domain	In domain	Out of Domain	 
164	287714-41-4	Rosuvastatin	CC(C)c1c(/C=C/C{P+}(O)CC{P-}(O)CC(O)=O)c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)n1	Reactive unspecified	no data	<=66.1070	from 51.891 to 84.217	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	60.87%	0.00%	39.13%	Out of domain	In domain	Out of Domain	 
165	N/A	Simazin-2-hydroxy	CCNC1NC(NCC)=NC(=O)N=1	Reactive unspecified	no data	<=226470.7656	from 132879.297 to 385981.906	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Unsaturated heterocyclic suspected BOD inhibition effect	In domain	15.38%	0.00%	84.62%	Out of domain	In domain	Out of Domain	 
166	673-04-1	Simeton	CCNc1nc(NCC)nc(OC)n1	basesurface narcotics	no data	26.1608	from 22.371 to 30.593	In domain	55.56%	0.00%	44.44%	Out of domain	84.04%	Out of Domain	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	In domain	88.89%	0.00%	11.11%	Out of domain	In domain	Out of Domain	 
167	486460-32-6	Sitagliptin	NC{P+}(Cc1cc(F)c(F)cc1F)CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F	Reactive unspecified	no data	<=431.5473	from 322.610 to 577.270	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Saturated heterocyclic suspected BOD  inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	39.13%	0.00%	60.87%	Out of domain	In domain	Out of Domain	 
168	99105-77-8	Sulcotrion	CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1	Reactive unspecified	no data	<=51.4059	from 38.625 to 68.415	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	68.75%	0.00%	31.25%	Out of domain	In domain	Out of Domain	 
169	53250-83-2	Sulcotrion-CMBA	CS(=O)(=O)c1ccc(C(O)=O)c(Cl)c1	Reactive unspecified	no data	<=687.2686	from 472.480 to 999.699	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	55.56%	11.11%	33.33%	Out of domain	In domain	Out of Domain	 
170	35256-85-0	Tebutam	CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C	basesurface narcotics	no data	7.9117	from  6.671 to  9.384	In domain	58.33%	0.00%	41.67%	Out of domain	54.67%	Out of Domain	 Tert-Butyl suspected inhibition effect	In domain	58.33%	0.00%	41.67%	Out of domain	In domain	Out of Domain	 
171	83121-18-0	Teflubenzuron	O=C(c1c(F)cccc1F)NC(=O)Nc1cc(Cl)c(F)c(Cl)c1F	Reactive unspecified	no data	<=0.8456*	from  0.632 to  1.131	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect;Urea derivatives BOD inhibition effect"	In domain	57.14%	0.00%	42.86%	Out of domain	In domain	Out of Domain	 
172	30125-63-4	Terbutylazin-desethyl	CC(C)(C)Nc1nc(N)nc(Cl)n1	Reactive unspecified	no data	<=67.2498	from 56.905 to 79.475	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
173	10379-14-3	Tetrazepam	CN1C(=O)CN=C(C2CCCCC=2)c2cc(Cl)ccc12	basesurface narcotics	no data	5.1468*	from  4.172 to  6.349	In domain	26.67%	0.00%	73.33%	Out of domain	27.24%	Out of Domain	 Aryl halide suspected BOD inhibition effect	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain	 
174	676228-91-4	Thiacloprid-amide	N=C(O)/N=C1/N(Cc2ccc(Cl)nc2)CCS/1	Reactive unspecified	no data	<=253.8302	from 196.464 to 327.947	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Pyridine suspected BOD inhibition effect	In domain	8.33%	0.00%	91.67%	Out of domain	In domain	Out of Domain	 
175	76-75-5	Thiopental	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O	Reactive unspecified	26.2002	<=14.8080	from 11.567 to 18.957	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	62.50%	0.00%	37.50%	Out of domain	In domain	Out of Domain	 
176	51012-32-9	Tiaprid	CCN(CC)CCN=C(O)c1cc(S(C)(=O)=O)ccc1OC	Reactive unspecified	no data	<=318.6223	from 238.441 to 425.766	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	58.82%	0.00%	41.18%	Out of domain	In domain	Out of Domain	 
177	55142-85-3	Ticlopidin	Clc1ccccc1CN1CCC2=C(C1)C=CS2	narcotic amines	no data	1.869	from  0.973 to  3.590	In domain	16.67%	0.00%	83.33%	Out of domain	20.16%	Out of Domain	 Aryl halide suspected BOD inhibition effect	In domain	33.33%	0.00%	66.67%	Out of domain	In domain	Out of Domain	 
178	51931-66-9	Tilidine	CCOC(=O)C1(c2ccccc2)CCC=CC{P-}1N(C)C	Reactive unspecified	no data	<=5.9872	from  4.982 to  7.195	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	86.67%	0.00%	13.33%	Out of domain	In domain	Out of Domain	 
179	26839-75-8	Timolol	CC(C)(C)NCC{P+}(O)COC1C(N2CCOCC2)=NSN=1	Reactive unspecified	no data	<=192.5781	from 150.788 to 245.951	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Saturated heterocyclic suspected BOD  inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	52.38%	0.00%	47.62%	Out of domain	In domain	Out of Domain	 
180	2398-96-1	Tolnaftat	Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1	Reactive unspecified	no data	<=0.1114*	from  0.079 to  0.158	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aromatic amine suspected BOD inhibition effect;Naphtalene suspected inhibition effect"	In domain	12.50%	0.00%	87.50%	Out of domain	In domain	Out of Domain	 
181	56211-40-6	Torasemid	CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc1cccc(C)c1	Reactive unspecified	no data	<=119.7591	from 90.866 to 157.839	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aromatic amine suspected BOD inhibition effect;Pyridine suspected BOD inhibition effect"	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain	 
182	147441-56-3	Tramadol N-oxide	CN(C)(=O)CC1CCCCC1(O)c1cccc(OC)c1	Reactive unspecified	no data	<=88.9597*	from 75.021 to 105.488	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	60.00%	0.00%	40.00%	Out of domain	In domain	Out of Domain	 
183	68786-66-3	Triclabendazol	CSC1Nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2N=1	Reactive unspecified	no data	<=0.2083*	from  0.150 to  0.289	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	36.36%	0.00%	63.64%	Out of domain	In domain	Out of Domain	 
184	101-20-2	Triclocarban	O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1	basesurface narcotics	no data	0.5269*	from  0.396 to  0.701	In domain	33.33%	0.00%	66.67%	Out of domain	10.24%	Out of Domain	" Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect;Urea derivatives BOD inhibition effect"	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
185	126535-15-7	Triflusulfuron-methyl	Cc1cccc(C(=O)OC)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1	Reactive unspecified	no data	<=3.6161*	from  2.737 to  4.778	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	In domain	52.17%	0.00%	47.83%	Out of domain	In domain	Out of Domain	 
186	739-71-9	Trimipramin	CC(CN(C)C)CN1c2ccccc2CCc2ccccc12	basesurface narcotics	no data	0.3035	from  0.221 to  0.416	In domain	50.00%	0.00%	50.00%	Out of domain	Out of domain	Out of Domain	 Alkane, branched tertiary carbon suspected BOD inhibition effect	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
187	142469-14-5	Tritosulfuron	COc1nc(C(F)(F)F)nc(NC(=O)NS(=O)(=O)c2ccccc2C(F)(F)F)n1	Reactive unspecified	no data	<=17.1133*	from 12.715 to 23.034	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	In domain	42.11%	0.00%	57.89%	Out of domain	In domain	Out of Domain	 
188	10405-02-4	Trospium	OC(c1ccccc1)(c1ccccc1)C(=O)OC1CC2CCC(C1)N{+}21CCCC1	Reactive unspecified	no data	<=10.5255*	from  6.480 to 17.097	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	78.95%	0.00%	21.05%	Out of domain	In domain	Out of Domain	 
189	1401-69-0	Tylosin	CCC{P+}1C{P-}(COC{P-}2C{P+}(OC)C{P+}(OC)C{P+}(O)C{P-}(C)O2)/C=C(C)/C=C/C(=O)C{P+}(C)CC{P+}(CC=O)C{P+}(OC{P-}2C{P+}(O)C{P-}(N(C)C)C{P+}(OC{P-}3CC{P-}(C)(O)C{P-}(O)C{P+}(C)O3)C{P-}(C)O2)C{P-}(C)C{P+}(O)CC(=O)O1	Reactive unspecified	no data	<=no data	± 0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	79.69%	0.00%	20.31%	Out of domain	Out of domain	Out of Domain	 
190	128-13-2	Ursodeoxycholic acid	CC{P+}(CCC(O)=O)C{P-}1CCC{P-}2C{P-}3C{P+}(CCC{P+}12C)C{P-}1(C)CCC{P-}(O)CC{P-}1CC{P+}3O	Reactive unspecified	no data	<=1.0240	from  0.758 to  1.384	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
191	1404-90-6	Vancomycin	CC(C)CC{P+}(C(=O)NC1C{P+}(O)c2ccc(c(Cl)c2)Oc2cc3cc(c2OC{P-}2C{P+}(OC{P-}4CC{P+}(C)(N)C{P+}(O)C{P+}(C)O4)C{P-}(O)C{P+}(O)C{P-}(CO)O2)Oc2ccc(cc2Cl)C{P-}(O)C{P-}2C(=O)NC{P-}(C(O)=O)c4cc(O)cc(O)c4-c4cc(ccc4O)C{P+}(C(=O)N2)NC(=O)C{P+}3NC(=O)C{P+}(CC(N)=O)NC1=O)NC	no rule	no data	no data	± 0.000	Out of domain	36.84%	0.00%	63.16%	Out of domain	Not tested	Out of Domain	 Aryl halide suspected BOD inhibition effect	In domain	73.68%	0.00%	26.32%	Out of domain	In domain	Out of Domain	 
192	52-53-9	Verapamil	CC(C)C(CCCN(C)CCc1ccc(OC)c(OC)c1)(C#N)c1ccc(OC)c(OC)c1	narcotic amines	no data	1.6623*	from  0.810 to  3.410	Out of domain	52.17%	0.00%	47.83%	Out of domain	19.47%	Out of Domain	 (N/A)	In domain	91.30%	0.00%	8.70%	Out of domain	In domain	Out of Domain	 
193	274901-16-5	Vildagliptin	N#CC{P+}1CCCN1C(=O)CNC12CC3CC(C1)CC(O)(C2)C3	basesurface narcotics	no data	2154.0283	from 1736.371 to 2672.146	In domain	54.55%	0.00%	45.45%	Out of domain	38.93%	Out of Domain	 (N/A)	In domain	77.27%	0.00%	22.73%	Out of domain	In domain	Out of Domain	 
194	526-36-3	Xylometazolin	Cc1cc(C(C)(C)C)cc(C)c1CC1NCCN=1	Reactive unspecified	no data	<=0.2908	from  0.213 to  0.396	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Tert-Butyl suspected inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	46.15%	0.00%	53.85%	Out of domain	In domain	Out of Domain	 
195	30516-87-1	Zidovudine	CC1=CN(C{P-}2CC{P+}(N=N#N)C{P-}(CO)O2)C(=O)NC1=O	Reactive unspecified	no data	<=3208.9954	from 2304.322 to 4468.843	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Urea derivatives BOD inhibition effect	In domain	26.32%	0.00%	73.68%	Out of domain	In domain	Out of Domain	 
196	68291-97-4	Zonisamide	NS(=O)(=O)CC1c2ccccc2ON=1	Reactive unspecified	no data	<=1628.9976	from 1140.845 to 2326.024	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	44.44%	0.00%	55.56%	Out of domain	In domain	Out of Domain	 
197	N/A	Fe	Fe	 	 	 	 	 	 	 	 	 	 	 	 		 	 	 				
198	501-36-0	Resveratrol	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	phenols and anilines	no data	5.6823	from  4.577 to  7.054	In domain	14.29%	0.00%	85.71%	Out of domain	43.82%	Out of Domain	 (N/A)	In domain	42.86%	0.00%	57.14%	Out of domain	In domain	Out of Domain	 
																							
																							
Legend:																							
< =   is assigned in the report for toxicity prediction in  cases  with the chemicals with reactive unspecified toxicity mode of action. 																							
These chemicals are known to possess reactive groups. 																							
Having no enough data for their toxicity, the base-surface toxicity model (associated with narcotic chemicals) is applied for  evaluating the max LC50 data for the chemicals with reactive unspecified toxicity mode of action.																							
This is the upper boundary for LC 50 which could be associated with these chemicals.  																							
No domain could be assigned for these chemicals having no sharp prediction values.																							
*  Predicted toxicity is greater than the calculated by the fragment method water solubility for this chemical.																							
