#	Cas#	Chem. Name	Smiles	Quantity	log Kow	Molecular weight	Daphnia magna LC50 48h										
							Daphnia magna-48h LC50 mode of action	Daphnia magna-48h LC50_Observed	Daphnia magna-48h LC50_StructCalcValue_Toxicity mg/l	Daphnia magna-48h LC50_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain
196	68291-97-4	Zonisamide	NS(=O)(=O)CC1c2ccccc2ON=1	1.00E-05	0.3597	212.2182	Reactive unspecified	no data	<=2467.4634	from 1410.697 to 4315.863	N/A	N/A	N/A	N/A	N/A	N/A	N/A
197	N/A	Fe	Fe	1	no data	no data	 	 	 	 	 	 	 	 	 	 	 
198	501-36-0	Resveratrol	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	0.6709	3.0836	228.2318	Reactive unspecified	no data	<=9.6159	from  7.419 to 12.463	N/A	N/A	N/A	N/A	N/A	N/A	N/A
																	
The report was created for D:\IRINA\Solution 2015-2016\DM September 2016\200 chem DM.smi																	
																	
Legend:																	
< =   is assigned in the report for toxicity prediction in the case with the chemicals with reactive unspecified toxicity mode of action. 																	
These chemicals are known to possess reactive groups. 																	
"Having no enough data for their toxicity, the base-surface toxicity model (associated with narcotic chemicals) is applied for  evaluating the max LC50 data for the chemicals with reactive unspecified toxicity mode of action."																	
This is the upper boundary for LC 50 which could be associated with these chemicals.  																	
No domain could be assigned for these chemicals having no sharp prediction values.																	
# the substance is a mixture and has not been assessed																	
*  Predicted toxicity is greater than the calculated by the fragment method water solubility for this chemical.																	
